Program,Agency,Address,Phone Number,URL
Christian Health 1,Christian Health,"301 Sicomac Ave, Wyckoff, NJ 07481",(201) 848-5200,
"Summer Hill of Wayne, a Christian Health Community",Christian Health,"2100 Summer Hill Road, Wayne, NJ 07470",(201) 848-5848,
The Vista,Christian Health,"299 Sicomac Ave, Wyckoff, NJ 07481",(201) 848-4200,
Christian Health 2,Christian Health,"151 Graham Ave, North Haledon, NJ 07508",(973) 427-4087,
Christian Health 3,Christian Health,"1000 Siena Village, Wayne, NJ 07470",(201) 897-5400,
Adult Vocational Rehabilitation,Adolescent Health Transition Project,"1100 George Wallace Drive, Gadsden AL 35903 United States",(256) 547-6974,https://www.icarol.info/ResultDetails.aspx?org=84123&agencynum=55013282
Arc Montgomery Services,Marc - Arc of Montgomery,"527 Buckingham Drive, Montgomery AL 36116 United States",(334) 399-1773,https://www.icarol.info/ResultDetails.aspx?org=84123&agencynum=39171387
Arc of Eastern Elmore County,Arc Services,"230 Sugarberry Road, Wetumpka AL 36092 United States",(334) 514-0708,https://www.icarol.info/ResultDetails.aspx?org=84123&agencynum=39171118
Disability Services,The Arc of Central Alabama,"6001 Crestwood Boulevard, Birmingham AL 35212 United States",(866) 243-9557,https://www.icarol.info/ResultDetails.aspx?org=84123&agencynum=39167176
Intellectual Disability and Mental Health Services,Jefferson-Blount-St.Clair Mental Health Authority,"940 Montclair Road, Birmingham AL 35213 United States",(205) 595-4555,https://www.icarol.info/ResultDetails.aspx?org=84123&agencynum=39168005
Chuda House,Cook Inlet Housing,"52394 6th Avenue #25, Kenai, Alaska, 99611",(907) 793-3020,https://www.cookinlethousing.org/properties/26-Apartment-52394-6th-Avenue-%2325-Kenai-Alaska-99611-1-Bedroom-1-Bathroom/
Knik Corners,Cook Inlet Housing,"8800 Centennial Circle, Anchorage, Alaska, 99504",(907) 793-3020,https://www.cookinlethousing.org/properties/25-Apartment-8800-Centennial-Circle-Anchorage-Alaska-99504-1-Bedroom-1-Bathroom/
Kenaitze Pointe,Cook Inlet Housing,"8871 Centennial Circle, Alaska, 99504",(907) 793-3020,https://www.cookinlethousing.org/properties/31-Apartment-8871-Centennial-Circle-Alaska-99504-1-Bedroom-1-Bathroom-USD1-027/
Ninilchik House,Cook Inlet Housing,"14635 Sterling Highway, Ninilchik, Alaska, 99639",(907) 793-3020,https://www.cookinlethousing.org/properties/27-Apartment-14635-Sterling-Highway-Ninilchik-Alaska-99639-1-Bedroom-1-Bathroom/
Tyonek Terrace,Cook Inlet Housing,"9141 Peck Avenue, Anchorage, Alaska, 99504",(907) 793-3020,https://www.cookinlethousing.org/properties/29-Apartment-9141-Peck-Avenue-Anchorage-Alaska-99504-1-Bedroom-1-Bathroom-USD995/
Civitan Group Home,Civitan Services,"1602 Hudson St, Benton, AR 72015",(501) 778-5912,https://www.civitanservices.com/community-services/group-home
Easy K Ranch,Easy K,"Co Rd 71, Franklin, AR 72536",(870) 368-7444,https://www.easykranch.org/
Ridge View Group Home,Unknown,"12958 AR-112, Springdale, AR 72762",(479) 248-1630,
Arkadelphia Human Development,Arkansas Department of Human Services,"1 Prator Dr, Arkadelphia, AR 71923",(870) 246-8011,https://humanservices.arkansas.gov/facilities/arkadelphia-human-development-center/
Community Living Arrangement,Unknown,"8800 Labette Dr, Little Rock, AR 72204",(501) 228-0425,
Diakona Housing (Mendocino),Unknown,"5581 Mendocino Blvd, Sacramento, CA 95820",(916) 452-2694,
Independent Living Center of Southern California -- Service Office,Independent Living Center of Southern California,"14354 Haynes St, Van Nuys, CA 91401",(818) 988-9525,https://ilcsc.org/
Parca,Parca,"800 Airport Blvd. Suite 320, Burlingame, CA 94010",(650) 312-0730,https://parca.org/
MidPen Housing,MidPen Housing,"303 Vintage Park Dr Suite 250, Foster City, CA 94404",(650) 356-2900,https://www.midpen-housing.org/
HIP Housing,HIP Housing,"800 S Claremont St #210, San Mateo, CA 94402",(650) 348-6660,https://hiphousing.org/
MESA Developmental,Unknown,"3850 Evergreen Rd, Grand Junction, CO 81501",(970) 241-9037,
Mosaic in Northern Colorado,Mosaic,"5131 S College Ave UNIT B, Fort Collins, CO 80525",(970) 461-2400,https://www.mosaicinfo.org/locations/colorado/northern-co/
Our House Inc,Our House,"1609 S Wahsatch Ave, Colorado Springs, CO 80905",(719) 477-0109,https://ourhouseinc.org/
Bethesda Lutheran Communities,Unknown,"6139 S Broadway, Littleton, CO 80121",(720) 283-6474,
The Morrison Group - Home,The Morrison Group,"735 S Clayton St, Denver, CO 80209",(303) 887-0630,http://tmg-denver.com/standard/index.cfm?type=6
Arc of Prince Georges County,Arc Services,"9711 Summit Cir # 2D, Upper Marlboro, MD 20774",,
